#,Name,Age Start,Age End,GP,G,A1,A2,P1,P,G/GP,A1/GP,A2/GP,P1/GP,P/GP
,,,,,,,,,,,,,,
84,Jake Henderson,20.592,21.052,18,3,2,1,5,6,0.167,0.111,0.056,0.278,0.333
85,Nick McHugh,18.59,19.05,19,4,2,0,6,6,0.211,0.105,0,0.316,0.316
86,Elijah Roberts,18.648,19.108,21,6,2,4,8,12,0.286,0.095,0.19,0.381,0.571
87,Matthew Struthers,17.725,18.185,17,10,2,6,12,18,0.588,0.118,0.353,0.706,1.059
88,Markus Phillips,18.492,18.949,20,4,6,3,10,13,0.2,0.3,0.15,0.5,0.65
89,Nick Suzuki,18.103,18.56,20,12,12,9,24,33,0.6,0.6,0.45,1.2,1.65
90,Evan Bouchard,17.909,18.369,18,6,12,9,18,27,0.333,0.667,0.5,1,1.5
91,Nicolas Mattinen,19.535,19.995,18,2,2,2,4,6,0.111,0.111,0.111,0.222,0.333
92,Macauley Carson,18.516,18.974,18,4,4,2,8,10,0.222,0.222,0.111,0.444,0.556
93,Ben Garagan,18.694,19.152,9,0,0,0,0,0,0,0,0,0,0
94,Jakob Brahaney,18.478,18.938,19,2,4,3,6,9,0.105,0.211,0.158,0.316,0.474
95,Matt Brassard,19.108,19.568,16,3,8,5,11,16,0.188,0.5,0.312,0.688,1
96,Sean Durzi,18.905,19.231,2,0,0,0,0,0,0,0,0,0,0
97,Johnny Corneil,20.085,20.545,21,7,8,0,15,15,0.333,0.381,0,0.714,0.714
98,Hayden Davis,18.158,18.612,19,1,3,5,4,9,0.053,0.158,0.263,0.211,0.474
99,Christian Girhiny,19.072,19.499,13,1,3,0,4,4,0.077,0.231,0,0.308,0.308
100,Josh Wainman,18.571,19.028,16,1,1,2,2,4,0.062,0.062,0.125,0.125,0.25
101,Ivan Lodnia,18.046,18.503,16,3,4,2,7,9,0.188,0.25,0.125,0.438,0.562
102,William Lochead,19.467,19.926,15,2,1,0,3,3,0.133,0.067,0,0.2,0.2
103,Reilly Webb,18.371,18.826,19,0,1,0,1,1,0,0.053,0,0.053,0.053
104,Joseph Garreffa,18.106,18.566,20,2,4,6,6,12,0.1,0.2,0.3,0.3,0.6
105,Anthony DeMeo,18.254,18.714,17,1,1,4,2,6,0.059,0.059,0.235,0.118,0.353
106,Greg Meireles,18.708,19.168,8,1,0,0,1,1,0.125,0,0,0.125,0.125
107,Brad Chenier,18.656,19.116,18,5,1,2,6,8,0.278,0.056,0.111,0.333,0.444
108,Fedor Gordeev,18.637,19.097,18,3,4,1,7,8,0.167,0.222,0.056,0.389,0.444
109,Hakon Nilsen,19.614,20.058,17,0,0,1,0,1,0,0,0.059,0,0.059
110,Nick Isaacson,18.1,18.467,6,1,0,0,1,1,0.167,0,0,0.167,0.167
111,Ian McKinnon,19.535,19.973,9,0,2,0,2,2,0,0.222,0,0.222,0.222
112,Nate Schnarr,18.558,19.018,19,4,8,4,12,16,0.211,0.421,0.211,0.632,0.842
113,Brady Lyle,18.281,18.738,17,5,3,5,8,13,0.294,0.176,0.294,0.471,0.765
114,Shane Bulitka,18.191,18.648,18,3,2,2,5,7,0.167,0.111,0.111,0.278,0.389
115,Tyler Burnie,18.601,19.061,13,1,0,0,1,1,0.077,0,0,0.077,0.077
116,Tyler Rollo,20.132,20.592,19,1,5,3,6,9,0.053,0.263,0.158,0.316,0.474
117,Cedric Ralph,18.653,19.113,19,5,1,1,6,7,0.263,0.053,0.053,0.316,0.368
118,Conor Ali,18.525,18.985,18,0,2,1,2,3,0,0.111,0.056,0.111,0.167
119,Kade Landry,18.374,18.834,16,1,1,1,2,3,0.062,0.062,0.062,0.125,0.188
120,Jake Durham,18.445,18.905,18,3,3,2,6,8,0.167,0.167,0.111,0.333,0.444
121,Ryan Littlejohn,17.597,18.056,16,1,1,2,2,4,0.062,0.062,0.125,0.125,0.25
122,Ty Dellandrea,17.156,17.616,18,10,8,6,18,24,0.556,0.444,0.333,1,1.333
123,Hunter Holmes,17.643,17.969,1,1,0,0,1,1,1,0,0,1,1
124,Kyle Bollers,18.516,18.971,16,1,1,2,2,4,0.062,0.062,0.125,0.125,0.25
125,Max Grondin,17.202,17.657,19,6,3,0,9,9,0.316,0.158,0,0.474,0.474
126,Damien Giroux,17.539,17.994,19,3,5,2,8,10,0.158,0.263,0.105,0.421,0.526
